id_commande,date_commande,client_id,ville_client,produit,categorie,quantite,prix_unitaire,note_satisfaction
CMD1088,2024-06-03,CL1153,Lome,Veste,Haut,2.0,66.84,
CMD1368,2024-06-02,CL1200,Lome,Sneakers,Chaussures,4.0,49.75,5.0
CMD1140,2024-01-29,CL1091,Lome,Sneakers,Chaussures,1.0,97.05,4.0
CMD1102,2024-04-01,CL1003,Lome,Jean,Bas,2.0,64.14,4.0
CMD1244,2024-11-22,CL1093,Lome,Casquette,Accessoire,1.0,16.39,4.0
CMD1174,2024-11-05,CL1025,Kara,Pull,Haut,2.0,36.43,4.0
CMD1170,2024-12-03,CL1077,Atakpame,Veste,Haut,1.0,145.09,5.0
CMD1249,2024-03-01,CL1198,Aneho,Sneakers,Chaussures,4.0,82.43,4.0
CMD1157,2024-02-29,CL1011,Kpalime,Sac a dos,Accessoire,,84.56,3.0
CMD1070,2024-08-14,CL1184,Aneho,Sac a dos,Accessoire,3.0,70.05,5.0
CMD1133,2024-08-30,CL1098,Lome,Chaussettes,Bas,4.0,6.63,4.0
CMD1271,2024-02-16,CL1129,Sokode,Sac a dos,Accessoire,2.0,59.93,4.0
CMD1380,2024-06-30,CL1165,Kpalime,Jean,Bas,2.0,38.83,3.0
CMD1361,2024-02-07,CL1068,Dapaong,chaussettes,Bas,2.0,5.6,2.0
CMD1256,2024-06-11,CL1018,Lome,Chaussettes,Bas,1.0,10.76,
CMD1222,2024-06-27,CL1106,Tsevie,Jean,Bas,2.0,68.12,1.0
CMD1388,2024-10-09,CL1084,Sokode,Sneakers,Chaussures,2.0,114.74,3.0
CMD1442,2024-10-22,CL1019,Lome,Chaussettes,Bas,1.0,,
CMD1336,2024-12-22,CL1180,Aneho,Jean,Bas,5.0,61.14,5.0
CMD1221,19/09/2024,CL1111,Lome,Jean,Bas,1.0,44.98,3.0
CMD1018,2024-06-01,CL1129,Tsevie,Sneakers,Chaussures,1.0,83.08,
CMD1177,2024-02-13,CL1110,Lome,Pull,Haut,5.0,53.61,2.0
CMD1375,2024-08-24,CL1112,Aneho,Sneakers,Chaussures,1.0,,3.0
CMD1020,2024-06-06,CL1014,Aneho,Pull,Haut,1.0,39.66,3.0
CMD1055,2024-05-22,CL1164,Tsevie,Veste,Haut,2.0,95.86,4.0
CMD1409,2024-07-29,CL1070,Lome,Casquette,Accessoire,1.0,19.52,1.0
CMD1410,2024-12-30,CL1063,Lome,Sneakers,Chaussures,1.0,97.61,4.0
CMD1350,2024-12-22,CL1076,Sokode,Pull,Haut,5.0,53.78,3.0
CMD1034,2024-08-20,CL1108,Lome,Chaussettes,Bas,4.0,5.02,4.0
CMD1181,2024-06-28,CL1094,Tsevie,Sneakers,Chaussures,2.0,94.26,5.0
CMD1184,2024-07-24,CL1036,Sokode,Pull,Haut,1.0,25.18,2.0
CMD1150,2024-06-16,CL1044,Aneho,Pull,Haut,1.0,46.97,4.0
CMD1207,2024-06-22,CL1153,Kara,Sneakers,Chaussures,2.0,72.29,
CMD1228,2024-09-12,CL1137,Lome,Chaussettes,Bas,5.0,9.47,5.0
CMD1239,2024-07-16,CL1047,Atakpame,Pull,Haut,4.0,38.11,4.0
CMD1359,2024-05-19,CL1125,Lome,Chaussettes,Bas,3.0,11.78,5.0
CMD1406,2024-10-28,CL1181,Lome,Jean,Bas,2.0,62.15,4.0
CMD1097,2024-01-09,CL1075,Kara,Veste,Haut,5.0,122.15,2.0
CMD1385,2024-06-24,CL1200,Lome,Jean,Bas,1.0,64.1,5.0
CMD1418,2024-05-20,CL1167,Lome,Sneakers,Chaussures,2.0,111.16,2.0
CMD1154,2024-10-01,CL1116,Lome,Pull,Haut,4.0,27.71,2.0
CMD1122,2024-07-25,CL1000,Lome,Jean,Bas,3.0,46.01,5.0
CMD1113,2024-05-16,CL1018,Kpalime,Veste,Haut,2.0,98.26,3.0
CMD1270,2024-03-22,CL1131,Lome,Pull,Haut,3.0,53.01,5.0
CMD1322,2024-06-26,CL1070,Lome,Chaussettes,Bas,2.0,8.72,3.0
CMD1171,2024-09-02,CL1109,Lome,Sac a dos,Accessoire,1.0,68.6,4.0
CMD1108,2024-10-28,CL1078,Lome,Chaussettes,Bas,5.0,8.15,4.0
CMD1078,15/01/2024,CL1086,Kara, Veste ,Haut,2.0,103.94,4.0
CMD1094,2024-09-10,CL1046,Lome,Sac a dos,Accessoire,4.0,64.19,4.0
CMD1061,2024-12-06,CL1173,Lome,Chaussettes,Bas,1.0,9.88,4.0
CMD1125,2024-06-08,CL1003,Atakpame,Sac a dos,Accessoire,2.0,37.29,5.0
CMD1302,2024-08-22,CL1065,Lome,Casquette,Accessoire,1.0,11.93,
CMD1300,2024-11-04,CL1085,Lome,Casquette,Accessoire,1.0,18.77,2.0
CMD1471,2024-11-11,CL1165,Kpalime,Sac a dos,Accessoire,1.0,83.01,3.0
CMD1091,2024-08-10,CL1187,Atakpame,Chaussettes,Bas,5.0,11.73,3.0
CMD1465,2024-02-01,CL1033,Lome,Jean,Bas,1.0,51.17,3.0
CMD1408,2024-12-26,CL1074,Lome,Pull,Haut,1.0,40.97,4.0
CMD1268,2024-05-06,CL1024,Lome,Pull,Haut,1.0,,3.0
CMD1346,2024-01-09,CL1136,Kpalime,Sac a dos,Accessoire,5.0,52.39,1.0
CMD1264,2024-06-03,CL1062,Kpalime,T-shirt,Haut,2.0,18.47,5.0
CMD1341,2024-07-13,CL1062,Lome,Chaussettes,Bas,2.0,7.07,5.0
CMD1397,2024-09-07,CL1035,Sokode,Sneakers,Chaussures,1.0,81.5,4.0
CMD1024,2024-04-25,CL1086,Lome,Pull,Haut,5.0,38.14,2.0
CMD1327,2024-09-23,CL1105,,Pull,Haut,1.0,32.11,3.0
CMD1340,2024-01-09,CL1141,Atakpame,T-shirt,Haut,2.0,19.31,4.0
CMD1363,2024-05-18,CL1033,Kara,Jean,Bas,2.0,35.18,2.0
CMD1126,2024-03-01,CL1039,Kara,Chaussettes,Bas,1.0,5.65,
CMD1395,2024-04-03,CL1177,Lome,Sneakers,Chaussures,2.0,68.49,4.0
CMD1273,2024-01-05,CL1110,Lome,Sac a dos,Accessoire,,65.85,2.0
CMD1178,2024-10-11,CL1150,Tsevie,Jean,Bas,3.0,61.06,1.0
CMD1420,2024-02-16,CL1000,Kara,Chaussettes,Bas,2.0,9.38,2.0
CMD1363,2024-05-18,CL1033,Kara,Jean,Bas,2.0,35.18,2.0
CMD1223,2024-02-11,CL1057,Lome,T-shirt,Haut,3.0,17.15,4.0
CMD1342,2024-09-07,CL1189,Lome,Sac a dos,Accessoire,3.0,63.04,
CMD1093,2024-08-18,CL1192,Lome,Veste,Haut,1.0,134.77,3.0
CMD1069,2024-03-03,CL1034,Aneho,Sac a dos,Accessoire,2.0,33.01,5.0
CMD1036,2024-09-01,CL1135,Lome,T-shirt,Haut,1.0,21.72,5.0
CMD1160,2024-05-23,CL1176,Aneho,Jean,Bas,4.0,64.18,1.0
CMD1011,2024-09-12,CL1164,Lome,Casquette,Accessoire,3.0,10.66,4.0
CMD1144,2024-06-25,CL1076,Lome,Casquette,Accessoire,1.0,16.78,5.0
CMD1344,2024-12-08,CL1195,Aneho,T-shirt,Haut,1.0,18.81,1.0
CMD1127,2024-05-19,CL1123,Sokode,Sac a dos,Accessoire,2.0,85.96,4.0
CMD1384,2024-05-31,CL1021,Kara,Sneakers,Chaussures,1.0,70.87,4.0
CMD1009,2024-07-13,CL1163,Lome,Sneakers,Chaussures,2.0,,4.0
CMD1364,2024-09-19,CL1026,Sokode,Jean,Bas,5.0,41.56,4.0
CMD1176,2024-06-09,CL1065,Lome,Sac a dos,Accessoire,1.0,53.92,
CMD1231,2024-08-28,CL1162,Kara,Pull,Haut,1.0,27.03,1.0
CMD1210,2024-12-28,CL1079,Lome,Pull,Haut,4.0,34.31,2.0
CMD1128,2024-11-02,CL1191,Kara,Sac a dos,Accessoire,1.0,44.62,5.0
CMD1143,2024-12-07,CL1119,Kara,Sneakers,Chaussures,2.0,62.41,1.0
CMD1241,2024-06-13,CL1020,Sokode,Chaussettes,Bas,1.0,5.55,2.0
CMD1007,2024-11-21,CL1041,Lome,Veste,Haut,4.0,137.98,4.0
CMD1254,2024-10-09,CL1156,Kara,Sac a dos,Accessoire,3.0,31.58,3.0
CMD1360,2024-12-14,CL1169,Kara,Veste,Haut,4.0,92.02,5.0
CMD1457,2024-03-07,CL1074,Kara,Chaussettes,Bas,1.0,5.52,3.0
CMD1008,2024-12-15,CL1018,Atakpame,Pull,Haut,2.0,35.66,
CMD1156,2024-04-23,CL1016,Aneho,Veste,Haut,3.0,102.43,
CMD1027,2024-10-19,CL1121,Sokode,casquette,Accessoire,2.0,16.69,5.0
CMD1266,2024-06-09,CL1187,Kpalime,Sac a dos,Accessoire,3.0,57.87,4.0
CMD1064,2024-05-25,CL1169,Kpalime,Sac a dos,Accessoire,1.0,77.62,5.0
CMD1255,2024-09-02,CL1105,,Jean,Bas,4.0,37.3,5.0
CMD1308,2024-12-26,CL1176,Atakpame,Sac a dos,Accessoire,4.0,48.41,4.0
CMD1153,2024-12-11,CL1142,Tsevie,Jean,Bas,2.0,39.93,4.0
CMD1048,2024-02-27,CL1176,Sokode,Sneakers,Chaussures,4.0,100.59,2.0
CMD1208,2024-02-18,CL1173,Lome,T-shirt,Haut,3.0,22.26,5.0
CMD1287,2024-06-09,CL1117,Sokode,Pull,Haut,5.0,54.94,3.0
CMD1001,2024-04-21,CL1129,Lome,Jean,Bas,1.0,55.67,3.0
CMD1269,2024-08-02,CL1040,Tsevie,T-shirt,Haut,4.0,15.77,3.0
CMD1265,2024-03-21,CL1106,Atakpame,Chaussettes,Bas,1.0,7.08,5.0
CMD1423,2024-02-22,CL1080,Atakpame,Jean,Bas,1.0,43.01,2.0
CMD1324,2024-01-18,CL1153,Lome,T-shirt,Haut,1.0,15.13,5.0
CMD1095,2024-11-01,CL1142,Lome,Sac a dos,Accessoire,2.0,42.73,4.0
CMD1449,2024-06-08,CL1022,Dapaong,Jean,Bas,2.0,65.69,4.0
CMD1475,2024-04-22,CL1199,Lome,Chaussettes,Bas,1.0,6.89,1.0
CMD1326,2024-10-21,CL1147,Lome,T-shirt,Haut,2.0,13.82,4.0
CMD1116,2024-06-14,CL1064,Tsevie,Sac a dos,Accessoire,1.0,56.27,5.0
CMD1045,2024-11-05,CL1183,Lome,Jean,Bas,1.0,66.14,3.0
CMD1161,2024-07-04,CL1175,Aneho,Pull,Haut,5.0,31.52,2.0
CMD1434,2024-07-22,CL1073,Aneho,Veste,Haut,1.0,63.58,5.0
CMD1117,2024-12-10,CL1147,,T-shirt,Haut,1.0,13.19,4.0
CMD1288,2024-04-08,CL1071,Kpalime,Pull,Haut,2.0,41.39,3.0
CMD1077,2024-07-18,CL1137,Lome,Chaussettes,Bas,3.0,,4.0
