id_commande,date_commande,client_id,ville_client,categorie_produit,nom_produit,quantite,prix_unitaire,remise_pourcentage,mode_paiement,canal_vente,delai_livraison_jours,note_satisfaction,statut_commande
102105,2024-10-24,1773,Bordeaux,Vetements,Jean,1,40.1,0,CB,Magasin,10.0,5.0,Livree
100020,2024-07-29,1143,Paris,Maison,Etagere,1,65.38,5,Especes,Magasin,3.0,4.0,En cours
102041,2024-10-24,1290,Toulouse,Maison,Etagere,2,60.34,5,CB,Site web,1.0,3.0,En cours
100777,2024-03-10,2130,Toulouse,Vetements,Robe,2,40.52,0,CB,Site web,9.0,4.0,Livree
101292,2025-05-22,2096,Marseille,Vetements,T-shirt,5,28.46,10,Especes,Site web,7.0,1.0,En cours
101808,2024-02-10,1566,Strasbourg,Sport,Velo,3,62.33,30,PayPal,Site web,14.0,5.0,Livree
102419,2024-07-05,1019,Lille,Sport,Ballon,2,73.2,0,Virement,Site web,5.0,1.0,Livree
101771,2025-07-12,2488,Paris,Electronique,Tablette,2,71.49,15,PayPal,Application mobile,12.0,3.0,Retournee
101741,2025-01-19,2257,Lyon,Vetements,Jean,1,38.06,0,PayPal,Application mobile,5.0,4.0,Livree
102821,2025-08-21,2133,Bordeaux,Sport,Velo,2,55.83,15,CB,Site web,4.0,4.0,Livree
104979,2024-08-26,1118,Lyon,Electronique,Casque audio,5,285.44,0,CB,Site web,12.0,5.0,Livree
102087,2024-01-27,2117,Strasbourg,Sport,Halteres,2,82.23,0,PayPal,Application mobile,4.0,1.0,Livree
103731,2024-08-22,1628,Marseille,Vetements,Veste,1,30.07,0,PayPal,Application mobile,6.0,4.0,Livree
102719,2024-04-17,1727,Marseille,Maison,Lampe,2,57.92,0,CB,Magasin,11.0,3.0,Livree
104371,2025-07-19,1071,Lille,Vetements,Baskets,3,36.15,0,CB,Site web,12.0,3.0,Livree
100433,2024-08-03,1424,Lyon,Vetements,Veste,1,18.07,20,CB,Application mobile,6.0,4.0,Livree
102537,2025-04-18,1099,Nantes,Maison,Set de cuisine,2,40.96,5,CB,Site web,1.0,5.0,Livree
102606,2025-07-14,1676,Marseille,Sport,Halteres,5,37.02,30,CB,Application mobile,11.0,3.0,Livree
104208,2025-05-18,1695,Bordeaux,Beaute,Serum,3,18.15,0,CB,Site web,2.0,4.0,Livree
101410,2024-03-02,1545,Paris,Electronique,Tablette,2,284.43,0,Virement,Application mobile,3.0,4.0,Livree
104636,2024-09-01,2463,Lille,Electronique,Ordinateur portable,1,327.19,0,CB,Application mobile,12.0,5.0,Livree
104870,2025-06-13,1510,Lyon,Electronique,Tablette,1,279.8,20,Virement,Site web,3.0,3.0,Livree
104906,2025-02-08,2337,Lille,Vetements,Veste,2,43.86,15,Virement,Site web,2.0,5.0,Livree
103776,2025-10-05,2185,Nantes,Electronique,Tablette,2,186.09,0,PayPal,Magasin,1.0,2.0,Livree
102809,2024-04-18,1555,Lyon,Electronique,Tablette,2,377.2,20,PayPal,Site web,5.0,3.0,Livree
101736,2024-12-08,1339,Lyon,Electronique,Enceinte bluetooth,2,130.48,15,PayPal,Magasin,11.0,5.0,Livree
101563,2024-07-07,1409,Lille,Vetements,T-shirt,5,39.96,10,CB,Site web,3.0,5.0,Livree
102181,2024-03-03,1290,Strasbourg,Sport,Halteres,2,60.07,5,CB,Site web,8.0,3.0,En cours
103454,2025-03-22,1502,Strasbourg,Electronique,Casque audio,1,155.79,0,CB,Magasin,1.0,5.0,Livree
101207,2025-12-21,2400,Toulouse,Vetements,Baskets,2,49.66,0,CB,Site web,12.0,4.0,Livree
101416,2024-04-26,2404,Nantes,Electronique,Casque audio,2,172.87,10,CB,Site web,7.0,4.0,Livree
102993,2024-02-04,1605,Lille,Electronique,Casque audio,1,245.71,30,PayPal,Site web,3.0,5.0,Livree
101155,2024-10-04,1034,Nantes,Sport,Montre connectee,2,53.69,5,Virement,Application mobile,6.0,4.0,Livree
104993,2025-12-10,2352,Strasbourg,Maison,Lampe,1,28.2,10,CB,Application mobile,14.0,5.0,Livree
103652,2025-05-22,1598,Marseille,Electronique,Casque audio,2,281.49,10,CB,Magasin,8.0,4.0,Livree
102496,2025-03-04,1123,Lille,Beaute,Rouge a levres,3,25.94,0,CB,Site web,2.0,3.0,Livree
103720,2024-06-10,2309,Bordeaux,Vetements,Baskets,1,44.28,10,Especes,Magasin,13.0,5.0,Livree
101749,2025-11-25,1346,Bordeaux,Electronique,Enceinte bluetooth,1,142.01,0,CB,Application mobile,9.0,3.0,En cours
102175,2024-09-19,2116,Marseille,Vetements,T-shirt,1,39.52,0,CB,Site web,13.0,2.0,Livree
104562,2025-12-19,2291,Lyon,Maison,Tapis,2,45.11,10,PayPal,Magasin,6.0,4.0,Livree
101361,2024-05-26,1336,Bordeaux,Sport,Halteres,1,80.79,10,Virement,Site web,2.0,4.0,Livree
102294,2025-09-01,1478,Toulouse,Sport,Montre connectee,1,54.82,10,PayPal,Site web,12.0,,Livree
104850,2024-01-06,1962,Paris,Livres,Livre de cuisine,3,13.66,5,CB,Site web,8.0,4.0,Livree
101740,2025-07-24,1407,Toulouse,Sport,Montre connectee,5,58.24,10,Virement,Site web,14.0,5.0,Livree
101541,2025-09-20,2302,Paris,Electronique,Casque audio,1,198.41,0,CB,Magasin,5.0,,Annulee
104442,2025-02-26,1068,Paris,Maison,Set de cuisine,1,43.06,0,PayPal,Magasin,2.0,5.0,Livree
104781,2024-09-19,1661,Nantes,Beaute,Parfum,1,28.4,30,PayPal,Application mobile,2.0,4.0,Livree
103805,2024-08-30,2393,Lyon,Sport,Montre connectee,5,65.18,0,PayPal,Magasin,8.0,4.0,Livree
103471,2025-06-28,2062,Strasbourg,Beaute,Rouge a levres,1,20.22,0,CB,Site web,4.0,5.0,Livree
104259,2025-01-11,1838,Lille,Electronique,Enceinte bluetooth,1,176.45,0,PayPal,Site web,3.0,4.0,Livree
102331,2025-08-26,2428,Lille,Vetements,T-shirt,4,47.72,0,Virement,Site web,14.0,5.0,En cours
101794,2025-02-10,2472,Strasbourg,Maison,Set de cuisine,5,38.09,10,PayPal,Magasin,14.0,1.0,Livree
103846,2024-02-01,1357,Lille,Electronique,Enceinte bluetooth,5,183.42,0,Virement,Magasin,13.0,5.0,Livree
104527,2025-12-07,2287,Nantes,Electronique,Casque audio,4,313.68,0,PayPal,Application mobile,12.0,5.0,Livree
103279,2025-04-19,2289,Nantes,Electronique,Casque audio,1,279.1,0,CB,Site web,11.0,,Annulee
102962,2025-12-13,1004,Nantes,Vetements,Robe,1,45.51,0,Virement,Application mobile,14.0,5.0,Livree
100922,2025-12-23,1785,Lyon,Maison,Etagere,1,37.39,15,CB,Magasin,8.0,4.0,Livree
103993,2024-03-29,2318,Strasbourg,Vetements,T-shirt,2,41.51,0,PayPal,Magasin,1.0,3.0,Livree
100111,2025-02-07,1884,Strasbourg,Electronique,Tablette,2,397.97,30,CB,Site web,14.0,4.0,Livree
104298,2025-08-18,1212,Bordeaux,Sport,Velo,1,56.74,15,CB,Application mobile,13.0,5.0,Retournee
100009,2024-12-05,2079,Lille,Maison,Lampe,1,50.41,5,CB,Application mobile,3.0,2.0,Retournee
103291,2025-11-29,1812,Toulouse,Sport,Halteres,3,101.34,20,CB,Site web,14.0,4.0,En cours
100209,2025-04-10,1691,Strasbourg,Electronique,Smartphone,2,332.33,0,PayPal,Site web,3.0,5.0,Livree
104432,2024-06-12,1833,Lyon,Electronique,Smartphone,1,132.76,30,CB,Site web,3.0,5.0,En cours
101971,2024-11-14,1646,Toulouse,Electronique,Smartphone,2,322.94,0,CB,Site web,7.0,5.0,Retournee
102807,2024-06-13,2147,Lille,Maison,Lampe,1,45.58,0,Especes,Site web,14.0,,Livree
103836,2024-02-29,1107,Lyon,Electronique,Tablette,1,338.09,0,Especes,Site web,11.0,4.0,Livree
100884,2025-07-11,2068,Marseille,Vetements,Baskets,3,40.51,0,CB,Magasin,6.0,5.0,Livree
101176,2025-09-04,1574,Lille,Sport,Velo,2,53.41,10,Especes,Application mobile,10.0,3.0,En cours
103711,2025-03-11,2049,Lyon,Sport,Velo,1,61.72,0,CB,Site web,11.0,5.0,Livree
100685,2024-12-11,2057,Strasbourg,Beaute,Parfum,4,24.13,0,Virement,Site web,3.0,4.0,Livree
101275,2024-03-10,2149,Paris,Beaute,Rouge a levres,1,13.43,30,CB,Application mobile,8.0,4.0,Livree
101230,2025-04-21,2480,Toulouse,Livres,BD,2,14.82,5,CB,Application mobile,12.0,,Annulee
101224,2025-05-02,2323,Toulouse,Electronique,Ordinateur portable,1,264.94,30,CB,Site web,5.0,5.0,Livree
103567,2025-05-25,1224,Lyon,Livres,Roman,4,12.72,0,CB,Application mobile,11.0,4.0,Retournee
102277,2025-11-28,2200,Bordeaux,Electronique,Smartphone,4,290.21,5,CB,Site web,6.0,5.0,Livree
102773,2024-12-03,1844,Nantes,Electronique,Tablette,1,392.71,30,Especes,Site web,7.0,4.0,Livree
102337,2025-01-07,1939,Bordeaux,Vetements,Jean,1,40.25,15,CB,Site web,9.0,,Livree
103390,2025-04-28,1313,Toulouse,Sport,Velo,2,77.0,5,Especes,Site web,12.0,1.0,Livree
100439,2024-07-06,1993,Lille,Vetements,Jean,2,42.53,30,Virement,Site web,7.0,4.0,Livree
104984,2025-08-27,1855,Bordeaux,Beaute,Creme visage,2,18.11,0,PayPal,Site web,14.0,5.0,Livree
104150,2025-10-11,1546,Lyon,Vetements,T-shirt,1,55.25,0,CB,Site web,9.0,2.0,Livree
102640,2025-05-19,2498,Marseille,Sport,Ballon,3,68.23,0,PayPal,Application mobile,9.0,4.0,Livree
104522,2025-06-03,1657,Marseille,Electronique,Ordinateur portable,1,,10,CB,Magasin,10.0,,Annulee
100033,2024-03-26,1123,Lyon,Maison,Etagere,2,37.31,0,CB,Application mobile,10.0,,Annulee
100451,2025-04-11,1411,Bordeaux,Vetements,Veste,1,36.82,10,PayPal,Application mobile,1.0,5.0,Livree
104437,2025-09-04,1437,Lille,Maison,Lampe,5,52.4,0,CB,Site web,8.0,3.0,Livree
102610,2024-08-24,1131,Strasbourg,Sport,Velo,1,51.09,5,CB,Site web,2.0,3.0,Livree
103064,2025-01-23,1693,Paris,Vetements,Robe,4,31.33,0,CB,Application mobile,12.0,5.0,Annulee
100821,2024-09-10,2150,,Beaute,Rouge a levres,2,14.27,20,CB,Site web,9.0,3.0,Livree
100023,2024-01-30,2337,Paris,Maison,Coussin,2,29.44,0,CB,Application mobile,1.0,2.0,Livree
103529,2024-09-02,2254,Strasbourg,Maison,Etagere,5,33.31,15,CB,Site web,,4.0,Livree
101959,2024-12-07,1036,Bordeaux,Livres,Manuel scolaire,4,19.79,5,CB,Application mobile,1.0,5.0,Retournee
104153,2025-05-09,1431,Lille,Electronique,Casque audio,2,300.68,15,CB,Magasin,6.0,4.0,Livree
103500,2024-03-02,2268,Strasbourg,Maison,Etagere,1,50.56,0,PayPal,Site web,10.0,,Livree
104857,2025-07-25,2107,Nantes,Beaute,Serum,3,21.25,30,PayPal,Application mobile,12.0,3.0,Livree
104295,2025-04-27,2336,Lille,Beaute,Serum,4,20.89,0,CB,Application mobile,13.0,5.0,En cours
103975,2024-07-09,1077,Bordeaux,Beaute,Parfum,2,6.09,10,CB,Site web,2.0,3.0,Livree
100424,2025-03-19,1739,Lille,Livres,Manuel scolaire,1,19.66,0,PayPal,Application mobile,1.0,2.0,Livree
100367,2024-03-08,1632,Marseille,Electronique,Casque audio,1,46.11,0,PayPal,Application mobile,4.0,4.0,Livree
101119,2025-03-31,2007,Toulouse,Vetements,Jean,4,61.41,30,PayPal,Site web,10.0,5.0,Livree
100057,2025-02-05,2103,Lyon,Sport,Montre connectee,3,53.83,30,PayPal,Application mobile,10.0,,Annulee
104753,2024-10-07,1632,Strasbourg,Vetements,Baskets,2,33.13,0,PayPal,Magasin,7.0,,Annulee
103420,2025-04-25,1310,Bordeaux,Sport,Halteres,2,90.95,30,Especes,Site web,13.0,4.0,Livree
104438,2025-02-14,1576,Strasbourg,Beaute,Shampoing,1,21.18,0,PayPal,Site web,2.0,3.0,Livree
104209,2024-09-08,1885,Marseille,Maison,Coussin,2,23.97,10,Virement,Site web,3.0,2.0,Livree
100350,2024-06-23,2153,Nantes,Sport,Halteres,2,55.19,0,PayPal,Site web,14.0,5.0,Livree
104368,2024-02-28,1132,Lille,Livres,Manuel scolaire,4,17.24,0,PayPal,Site web,10.0,5.0,Livree
100285,2024-11-17,1166,,Vetements,Robe,1,38.34,0,PayPal,Site web,13.0,4.0,Retournee
104218,2025-12-16,2312,Nantes,Vetements,Veste,2,37.68,30,Virement,Site web,1.0,4.0,Livree
103923,2025-03-01,1118,Paris,Maison,Tapis,1,37.75,10,CB,Site web,5.0,4.0,Livree
104559,2024-10-06,1857,Strasbourg,Electronique,Enceinte bluetooth,2,134.55,0,CB,Site web,13.0,2.0,Livree
104284,2025-02-18,2267,Toulouse,Livres,Manuel scolaire,2,20.12,0,Especes,Application mobile,13.0,4.0,Livree
104311,2025-06-12,1195,Paris,Vetements,Baskets,2,52.86,0,CB,Site web,12.0,5.0,Livree
101365,2025-01-23,2339,Paris,Livres,Manuel scolaire,5,13.09,15,PayPal,Application mobile,6.0,3.0,Livree
101820,2024-04-15,1234,Bordeaux,Electronique,Ordinateur portable,5,240.54,0,CB,Application mobile,14.0,5.0,Livree
101171,2025-08-05,2446,Marseille,Beaute,Parfum,4,27.02,30,CB,Site web,14.0,5.0,Livree
103937,2025-10-29,2258,Nantes,Electronique,Tablette,2,344.86,20,PayPal,Magasin,5.0,,Livree
104862,2024-04-01,1651,Nantes,Livres,Essai,1,18.14,15,PayPal,Site web,4.0,2.0,Livree
101100,2024-07-11,1733,Toulouse,Livres,Livre de cuisine,1,13.71,0,CB,Magasin,3.0,4.0,Livree
101021,2025-04-01,1526,Bordeaux,Livres,BD,4,10.85,0,PayPal,Site web,10.0,4.0,En cours
102698,2025-05-23,2101,Marseille,Electronique,Ordinateur portable,5,199.84,0,PayPal,Magasin,9.0,3.0,Livree
101543,2024-01-10,2285,Lyon,Livres,Roman,1,6.24,10,CB,Magasin,6.0,4.0,En cours
104226,2024-04-21,1253,Strasbourg,Beaute,Shampoing,4,28.75,30,PayPal,Site web,12.0,2.0,Livree
101094,2024-07-18,1881,Strasbourg,Vetements,Veste,4,34.55,0,CB,Site web,1.0,4.0,Livree
103123,2024-08-19,1576,Lille,Sport,Montre connectee,1,65.09,15,CB,Site web,3.0,5.0,Livree
100808,2025-08-21,1081,Toulouse,Sport,Tapis de yoga,3,56.81,0,Virement,Site web,11.0,,Annulee
103898,2024-08-20,1554,Bordeaux,Electronique,Smartphone,2,292.35,0,PayPal,Magasin,7.0,2.0,En cours
104211,2025-03-31,1246,Marseille,Electronique,Smartphone,2,180.84,0,PayPal,Magasin,9.0,3.0,Annulee
101698,2025-08-13,1012,Toulouse,Livres,Livre de cuisine,1,18.44,0,CB,Magasin,9.0,4.0,Livree
104076,2024-06-07,1667,Nantes,Beaute,Creme visage,2,20.59,15,CB,Site web,4.0,5.0,Livree
101989,2025-05-17,2462,Strasbourg,Vetements,Jean,2,31.85,0,CB,Application mobile,8.0,5.0,Livree
101374,2025-12-04,2106,Lille,Maison,Tapis,2,52.96,20,Especes,Site web,2.0,4.0,Livree
103791,2025-08-09,1549,Strasbourg,Vetements,Robe,1,35.82,0,CB,Site web,12.0,5.0,Livree
104661,2025-02-04,2225,Bordeaux,Sport,Ballon,1,62.4,20,CB,Application mobile,12.0,4.0,Livree
104155,2025-05-16,1083,Lille,Beaute,Shampoing,1,22.18,15,Especes,Site web,8.0,5.0,Livree
102818,2025-04-07,2106,Lyon,Electronique,Casque audio,1,152.65,0,Especes,Application mobile,2.0,,Annulee
103085,2025-07-29,2451,Nantes,Sport,Tapis de yoga,1,62.01,15,CB,Site web,11.0,5.0,Livree
103845,2024-03-21,1741,Lille,Vetements,T-shirt,5,16.76,0,CB,Application mobile,11.0,1.0,En cours
101037,2024-06-23,1427,Strasbourg,Electronique,Casque audio,1,336.88,0,PayPal,Magasin,4.0,4.0,Livree
104207,2025-07-15,1359,Lyon,Vetements,Veste,5,35.16,0,CB,Application mobile,7.0,5.0,Livree
104170,2025-12-27,1764,Lille,Maison,Etagere,4,62.76,20,Especes,Site web,8.0,3.0,Livree
103526,2024-04-22,2234,Toulouse,Livres,Roman,2,12.02,10,Especes,Site web,13.0,5.0,Retournee
100279,2025-04-08,2269,Nantes,Sport,Halteres,3,77.81,5,CB,Magasin,13.0,4.0,Livree
101074,2024-02-07,1297,Lyon,Vetements,Robe,2,41.84,30,CB,Application mobile,8.0,5.0,Livree
104638,2025-11-29,1715,Nantes,Electronique,Casque audio,1,171.63,0,PayPal,Application mobile,8.0,5.0,Livree
104994,2024-10-18,1922,Marseille,Electronique,Tablette,1,368.46,10,PayPal,Site web,5.0,2.0,Livree
100841,2025-01-25,1408,Bordeaux,Maison,Set de cuisine,4,59.9,20,CB,Site web,,4.0,Livree
101352,2024-07-20,1812,Lyon,Vetements,Jean,2,40.93,0,PayPal,Site web,2.0,3.0,Retournee
104038,2025-03-15,1395,Bordeaux,Livres,BD,1,15.54,30,PayPal,Site web,9.0,5.0,Livree
100550,2024-01-12,1337,Lille,Electronique,Enceinte bluetooth,3,476.31,10,CB,Magasin,1.0,1.0,Livree
103718,2025-08-02,2444,Bordeaux,Vetements,T-shirt,2,33.73,15,CB,Application mobile,4.0,5.0,Livree
103558,2025-04-17,2317,Bordeaux,Vetements,Baskets,4,29.05,15,CB,Site web,5.0,5.0,Livree
100261,2024-01-20,1310,Lyon,Electronique,Enceinte bluetooth,5,344.24,10,CB,Application mobile,7.0,3.0,Livree
102643,2024-03-02,1783,Nantes,Beaute,Rouge a levres,2,12.29,5,CB,Site web,2.0,4.0,En cours
104935,2024-06-18,1434,Bordeaux,Sport,Tapis de yoga,2,20.6,0,CB,Site web,5.0,2.0,Livree
100534,2025-06-30,1742,Paris,Electronique,Smartphone,1,268.17,10,Virement,Site web,12.0,4.0,Livree
100928,2025-08-11,1912,Nantes,Electronique,Enceinte bluetooth,1,362.0,0,Especes,Magasin,12.0,3.0,Annulee
103315,2025-07-31,1817,Lyon,Electronique,Ordinateur portable,5,338.61,10,CB,Application mobile,14.0,5.0,Livree
100611,2025-07-12,1590,Nantes,Sport,Ballon,2,68.9,0,CB,Application mobile,7.0,3.0,Livree
102082,2024-06-30,1260,Paris,Livres,Essai,4,9.76,10,PayPal,Site web,13.0,5.0,Livree
102937,2024-01-04,2343,Nantes,Maison,Lampe,1,65.42,20,Especes,Magasin,2.0,5.0,Livree
100836,2025-06-05,1883,Lyon,Maison,Tapis,1,52.08,15,PayPal,Site web,3.0,3.0,Livree
102278,2024-05-22,2002,Marseille,Sport,Montre connectee,3,,30,CB,Site web,13.0,,Livree
102943,2024-08-19,2296,Strasbourg,Vetements,T-shirt,3,25.59,20,CB,Magasin,11.0,,Retournee
102911,2024-02-08,1489,Marseille,Electronique,Casque audio,3,172.24,0,CB,Site web,11.0,4.0,Livree
104512,2024-09-26,2137,Strasbourg,Beaute,Rouge a levres,3,26.39,0,CB,Site web,1.0,3.0,Livree
104849,2024-05-28,2445,Lyon,Sport,Ballon,2,88.48,0,CB,Magasin,1.0,4.0,Livree
100241,2024-12-11,2370,Bordeaux,Vetements,Veste,1,25.5,0,PayPal,Magasin,5.0,4.0,Livree
101631,2025-02-02,2260,Toulouse,Electronique,Smartphone,4,326.0,0,Virement,Application mobile,11.0,4.0,Livree
101081,2024-05-11,1108,Lyon,Sport,Halteres,2,76.69,15,CB,Magasin,12.0,,Livree
104791,2025-05-03,1635,Strasbourg,Vetements,Robe,2,27.3,10,CB,Site web,8.0,3.0,Livree
102216,2025-11-06,2088,Bordeaux,Sport,Ballon,2,62.64,15,PayPal,Site web,1.0,5.0,Livree
101370,2024-11-02,1623,Marseille,Vetements,Jean,2,27.66,30,CB,Magasin,13.0,4.0,Livree
100115,2025-04-06,1610,Lyon,Livres,Manuel scolaire,1,19.78,0,PayPal,Site web,6.0,4.0,Livree
102684,2025-03-02,1579,Bordeaux,Livres,Essai,4,9.17,0,PayPal,Site web,2.0,4.0,Livree
100346,2025-04-07,2302,Toulouse,Livres,BD,2,10.9,0,CB,Application mobile,5.0,5.0,Livree
104431,2025-08-09,1489,Strasbourg,Maison,Tapis,1,31.2,10,CB,Site web,6.0,3.0,Livree
104082,2024-05-31,1851,Strasbourg,Electronique,Tablette,1,341.25,0,CB,Site web,12.0,5.0,Livree
103163,2024-05-04,1145,Strasbourg,Electronique,Casque audio,5,315.64,0,CB,Magasin,4.0,2.0,Livree
103363,2024-10-13,2244,Lille,Electronique,Smartphone,3,290.42,0,Especes,Site web,5.0,4.0,Annulee
100017,2024-12-17,2331,Paris,Maison,Tapis,3,21.3,5,PayPal,Site web,5.0,4.0,Livree
102165,2024-01-04,2166,Paris,Vetements,Baskets,3,41.98,30,PayPal,Application mobile,11.0,3.0,Livree
102664,2024-06-27,1760,Nantes,Maison,Set de cuisine,1,44.25,0,CB,Site web,4.0,5.0,En cours
102686,2024-11-07,2338,Strasbourg,Sport,Tapis de yoga,4,78.7,0,Especes,Site web,5.0,5.0,Retournee
102875,2024-03-06,1941,Marseille,Electronique,Casque audio,1,294.55,5,CB,Magasin,13.0,4.0,Livree
104068,2024-11-23,1484,Nantes,Vetements,Robe,5,52.17,15,Virement,Site web,5.0,4.0,Annulee
103620,2024-11-12,1782,Nantes,Vetements,Robe,4,37.44,5,CB,Site web,3.0,3.0,Retournee
101865,2025-09-12,1873,Paris,Vetements,Veste,1,35.67,15,CB,Application mobile,7.0,4.0,Retournee
102991,2024-04-01,1552,Lyon,Maison,Lampe,1,57.92,20,PayPal,Application mobile,1.0,4.0,Livree
100024,2024-08-09,2161,Lyon,Livres,Livre de cuisine,3,11.2,15,PayPal,Site web,3.0,3.0,Livree
101767,2024-04-27,1764,Lyon,Beaute,Parfum,1,18.38,10,Especes,Site web,9.0,5.0,Livree
101157,2024-01-20,2077,Lyon,Livres,Livre de cuisine,2,13.46,30,PayPal,Magasin,7.0,4.0,Livree
102073,2025-12-24,1320,Lille,Electronique,Casque audio,2,312.87,0,PayPal,Site web,10.0,4.0,Retournee
103007,2024-11-04,2127,Strasbourg,Beaute,Parfum,2,14.29,0,CB,Site web,5.0,5.0,En cours
101059,2025-11-19,2457,Lyon,Sport,Ballon,2,78.18,20,CB,Application mobile,7.0,3.0,Livree
102971,2025-02-02,2276,Toulouse,Maison,Coussin,3,41.6,0,Virement,Site web,13.0,5.0,Livree
103755,2025-07-12,1108,Lille,Livres,Essai,1,17.19,30,Especes,Site web,14.0,4.0,Livree
103908,2024-09-15,2389,Toulouse,Vetements,Veste,1,19.66,0,Virement,Site web,11.0,5.0,En cours
102325,2024-03-07,2192,Strasbourg,Electronique,Ordinateur portable,5,252.64,20,CB,Site web,13.0,3.0,Livree
104096,2025-08-18,1095,Toulouse,Maison,Set de cuisine,1,43.37,10,PayPal,Application mobile,11.0,4.0,Livree
101277,2025-12-23,2261,Lille,Electronique,Enceinte bluetooth,2,215.04,20,CB,Site web,12.0,4.0,Livree
104812,2025-07-08,1789,Paris,Livres,Essai,1,11.43,15,CB,Application mobile,12.0,4.0,Livree
102376,2025-03-13,2467,Nantes,Vetements,Robe,5,,15,CB,Application mobile,2.0,5.0,Livree
100213,2025-09-07,1555,Strasbourg,Maison,Lampe,2,40.89,10,CB,Site web,4.0,4.0,Livree
101503,2024-04-10,1197,Lyon,Maison,Coussin,4,30.25,5,Especes,Application mobile,12.0,3.0,Livree
103691,2024-04-03,2033,Marseille,Maison,Etagere,5,60.83,15,CB,Site web,4.0,4.0,Livree
104317,2025-07-12,1361,Lyon,Sport,Halteres,1,47.76,10,PayPal,Site web,11.0,5.0,Livree
100967,2025-03-28,1228,Lyon,Vetements,Baskets,1,34.19,0,PayPal,Site web,2.0,3.0,Livree
103213,2025-06-21,2340,Toulouse,Livres,Essai,2,9.99,0,Virement,Site web,12.0,4.0,Retournee
102004,2025-03-01,1768,Paris,Maison,Set de cuisine,3,31.27,5,CB,Site web,2.0,4.0,Livree
100591,2025-03-11,1916,Paris,Maison,Set de cuisine,4,60.17,20,Especes,Site web,7.0,4.0,Livree
101234,2025-02-20,1802,Bordeaux,Beaute,Serum,3,21.15,20,CB,Magasin,14.0,5.0,Livree
102505,2025-05-25,1435,Bordeaux,Beaute,Parfum,1,8.3,15,PayPal,Application mobile,13.0,4.0,Livree
103401,2024-01-20,1223,Toulouse,Maison,Etagere,4,23.77,30,CB,Magasin,12.0,,Retournee
100666,2024-01-26,1434,Lille,Maison,Etagere,5,41.8,5,PayPal,Magasin,4.0,5.0,Livree
101629,2024-10-14,2113,Paris,Sport,Tapis de yoga,1,68.11,10,CB,Magasin,3.0,5.0,Livree
101099,2025-02-24,1952,Marseille,Vetements,Robe,3,28.54,30,CB,Application mobile,5.0,3.0,En cours
103532,2025-04-21,1225,Paris,Maison,Set de cuisine,2,26.4,0,CB,Magasin,9.0,3.0,Livree
102931,2025-09-17,2080,Bordeaux,Beaute,Rouge a levres,2,19.59,30,CB,Magasin,7.0,,Annulee
102538,2025-06-13,1106,Lille,Electronique,Smartphone,5,162.88,30,CB,Site web,7.0,4.0,Livree
100445,2025-11-12,2086,Lyon,Beaute,Shampoing,4,18.77,20,CB,Site web,7.0,4.0,Livree
