id_releve,region,prefecture,localite,type_energie,fournisseur,date_releve,consommation_kwh,production_kwh,nombre_menages_raccordes,taux_couverture_pourcent,panne_signalee
REL-0158,Kara,DANKPEN,SOKODE,Biomasse,CEB,17/03/2024,6356.7,1414.7,2068,88.1,Non
REL-0206,Maritime,Zio,Tsevie,hydraulique,ZAGNABORI SOLAR,2024-04-13,,7124.1,989,65.6,Oui
REL-0208,MARITIME,Ave,AMLAME,thermique,ZAGNABORI SOLAR,2025-07-11,5315.0,,2179,56.1,Oui
REL-0100,SAVANES,TONE,Notse,Eolienne,ZAGNABORI SOLAR,26-08-2024,6048.7,2675.9,1692,80.3,Oui
REL-0089,plateaux,DANYI,mango,eolienne,CEB,28-06-2024,4596.4,2794.6,3161,40.8,Oui
REL-0312,savanes,tone,Atakpame,Solaire,CEET,10/02/2025,2227.2,1406.0,853,79.6,Oui
REL-0106,PLATEAUX,danyi,atakpame,Biomasse,CEB,14/01/2025,2346.2,1087.4,2095,36.9,Non
REL-0061,Centrale,TCHAOUDJO,Amlame,Eolienne,ZAGNABORI SOLAR,09-04-2024,4939.6,1491.9,1223,36.7,Oui
REL-0130,Centrale,Tchamba,Atakpame,Solaire,CEET,2025-04-15,4017.9,2849.1,2341,32.4,Non
REL-0103,PLATEAUX,Kloto,Kpalime,Biomasse,CEB,21-05-2025,4121.1,1481.1,3360,70.0,Non
REL-0178,Maritime,Vo,BAFILO,Solaire,ZAGNABORI SOLAR,14/05/2024,3090.2,2621.7,843,59.6,Non
REL-0079,SAVANES,Tandjouare,Bafilo,Hydraulique,ZAGNABORI SOLAR,20/08/2024,5036.7,5784.7,2441,76.3,Oui
REL-0058,CENTRALE,Blitta,Kpalime,HYDRAULIQUE,CEET,2025-10-02,5672.7,6597.3,4004,90.5,Non
REL-0118,centrale,Sotouboua,KARA,Eolienne,ZAGNABORI SOLAR,15/12/2024,4676.0,2040.2,3812,92.9,Oui
REL-0010,Plateaux,AMOU,Mango,Solaire,CEB,2024-06-25,2362.9,1662.9,4568,37.4,Non
REL-0095,Maritime,Lacs,Lome,Eolienne,CEET,14-10-2025,5257.5,2437.3,3463,37.7,Non
REL-0109,Plateaux,Ogou,Kpalime,Hydraulique,ZAGNABORI SOLAR,2025-01-14,6879.0,7079.4,3397,64.8,Non
REL-0140,centrale,TCHAOUDJO,Aneho,Hydraulique,CEB,2025-09-10,3259.2,4175.3,2588,52.4,Oui
REL-0126,Plateaux,Haho,Atakpame,HYDRAULIQUE,AGAHR,17/06/2024,2678.7,3203.2,796,82.6,Oui
REL-0127,Savanes,Tone,Kpalime,Biomasse,CEB,22-03-2024,4481.6,999.5,2915,65.1,Non
REL-0209,Centrale,Blitta,Mango,SOLAIRE,CEB,13/12/2024,2058.7,941.7,597,69.6,Non
REL-0067,KARA,ASSOLI,Vogan,Hydraulique,ZAGNABORI SOLAR,16/02/2024,3165.7,4072.7,2923,53.7,Non
REL-0171,Kara,Dankpen,Bafilo,HYDRAULIQUE,CEB,2025-11-27,6753.5,6741.9,409,70.4,Oui
REL-0015,Maritime,Yoto,Mango,Thermique,CEET,2025-12-11,5607.7,5344.7,2186,39.3,Non
REL-0028,Savanes,TANDJOUARE,Mango,biomasse,AGAHR,2024-02-09,6807.1,2784.7,4906,56.2,Oui
REL-0041,Kara,Binah,AMLAME,eolienne,AGAHR,01-08-2024,1621.8,671.3,4568,27.7,Oui
REL-0046,Savanes,Tandjouare,ANEHO,Eolienne,AGAHR,2025-04-27,5627.9,2516.3,2434,71.2,Non
REL-0155,Kara,Assoli,mango,biomasse,CEB,06-02-2025,6269.2,3729.6,3369,36.0,Non
REL-0032,Kara,dankpen,mango,HYDRAULIQUE,ZAGNABORI SOLAR,03/11/2024,3722.6,3517.4,4372,36.8,Non
REL-0170,kara,Keran,Atakpame,Thermique,CEET,07-04-2024,1861.9,2685.8,4462,50.4,Oui
REL-0133,MARITIME,Lacs,Atakpame,Solaire,AGAHR,02/06/2025,2327.9,1877.2,569,94.1,Non
REL-0033,Plateaux,EST-MONO,atakpame,Thermique,CEET,2024-08-20,5873.1,8117.8,3880,38.6,Non
REL-0014,Centrale,TCHAMBA,Sokode,Biomasse,CEB,26/04/2025,2668.7,,3484,38.5,Non
REL-0163,KARA,bassar,Dapaong,Solaire,CEET,2024-04-24,2198.8,1004.4,4073,74.0,Non
REL-0121,Maritime,GOLFE,VOGAN,Hydraulique,ZAGNABORI SOLAR,04/09/2025,6458.2,6200.0,2282,90.4,Non
REL-0052,Centrale,Tchamba,ANEHO,Eolienne,AGAHR,09/01/2024,,3515.4,1084,35.0,Oui
REL-0029,KARA,doufelgou,NOTSE,Thermique,ZAGNABORI SOLAR,02-05-2024,4630.6,5040.9,3722,62.1,Oui
REL-0019,MARITIME,YOTO,Sokode,Eolienne,,2024-10-20,4986.1,1644.5,821,97.0,Non
REL-0022,Maritime,YOTO,notse,Solaire,CEET,2024-05-04,5896.9,3415.7,4682,33.5,Non
REL-0135,Savanes,Cinkasse,Lome,Thermique,CEB,17/08/2025,3422.3,4675.9,1370,65.8,Non
REL-0016,Plateaux,Amou,Aneho,Biomasse,CEET,2024-11-18,4757.1,1037.5,914,48.7,Non
REL-0099,centrale,Tchaoudjo,Lome,Solaire,CEET,2025-08-15,7683.2,4685.2,616,43.1,Oui
REL-0059,Kara,Assoli,ANEHO,Solaire,ZAGNABORI SOLAR,2025-06-22,4875.7,3515.5,1467,31.1,Oui
REL-0037,Maritime,Ave,Atakpame,hydraulique,ZAGNABORI SOLAR,2024-12-07,4507.7,4546.9,3548,41.2,Non
REL-0164,Centrale,Sotouboua,Tsevie,eolienne,AGAHR,12-05-2025,6416.5,3260.4,4223,81.4,Non
REL-0199,Savanes,OTI,Notse,solaire,CEB,10/12/2025,2402.1,1083.1,4841,36.2,Oui
REL-0052,Centrale,Tchamba,ANEHO,Eolienne,AGAHR,09/01/2024,,3515.4,1084,35.0,Oui
REL-0027,Kara,Bassar,Sokode,Eolienne,AGAHR,2025-04-08,5042.1,3067.5,1732,61.0,Non
REL-0191,MARITIME,ZIO,NOTSE,HYDRAULIQUE,AGAHR,2025-04-15,2090.3,1953.7,2299,52.5,Non
REL-0105,PLATEAUX,Danyi,ATAKPAME,THERMIQUE,AGAHR,25-09-2024,6661.9,8006.8,4463,87.5,Oui
REL-0200,plateaux,OGOU,Lome,SOLAIRE,CEB,05-04-2024,5344.5,2795.0,2788,36.7,Non
REL-0149,PLATEAUX,AGOU,Mango,Thermique,ZAGNABORI SOLAR,13-03-2025,3361.3,4990.3,4266,97.0,Oui
REL-0129,Maritime,Yoto,Lome,Hydraulique,ZAGNABORI SOLAR,2025-08-15,3261.8,2842.6,2936,,Non
REL-0107,plateaux,HAHO,Amlame,Eolienne,CEB,19/11/2025,4798.6,1490.5,3932,67.8,Oui
REL-0165,Plateaux,KLOTO,Dapaong,Eolienne,CEET,2024-12-05,6268.9,3264.6,2286,,Non
REL-0038,KARA,keran,bafilo,Thermique,ZAGNABORI SOLAR,12/01/2025,4148.1,4031.6,3344,49.6,Non
REL-0144,Kara,dankpen,Mango,Hydraulique,AGAHR,2025-05-21,4518.9,,882,63.2,Non
REL-0085,maritime,Bas-Mono,BAFILO,Hydraulique,CEET,20-05-2024,3340.8,3638.6,4945,27.6,Non
REL-0114,Maritime,Zio,Bafilo,Solaire,CEB,18/06/2024,5774.4,4125.6,1584,89.1,Non
REL-0110,Centrale,Blitta,Vogan,Solaire,CEB,10/01/2024,2643.3,2301.6,1286,53.2,Non
REL-0050,MARITIME,Yoto,notse,Hydraulique,CEB,16/12/2024,3744.8,3954.7,4979,41.5,Non
REL-0188,Plateaux,wawa,Dapaong,eolienne,CEET,23/12/2025,6550.3,2061.2,2762,43.4,Oui
REL-0006,Savanes,Kpendjal,MANGO,solaire,CEET,26/01/2024,3801.4,2341.6,3436,46.3,Oui
REL-0018,Savanes,CINKASSE,Vogan,Solaire,CEET,16-10-2024,3420.2,1848.5,4500,64.6,Non
REL-0132,Kara,DOUFELGOU,Aneho,HYDRAULIQUE,CEB,02/01/2025,3739.6,4312.2,4204,30.9,Non
REL-0187,savanes,tone,Atakpame,Solaire,CEET,10/02/2025,2227.2,1406.0,853,79.6,Oui
REL-0198,MARITIME,lacs,kpalime,hydraulique,CEB,20-12-2025,4214.5,4732.7,3657,66.7,Non
REL-0115,Kara,ASSOLI,Kara,hydraulique,CEET,11/01/2024,5719.3,5382.0,4372,38.0,Non
REL-0087,Centrale,sotouboua,dapaong,HYDRAULIQUE,ZAGNABORI SOLAR,2024-02-27,5529.4,4507.8,913,,Non
REL-0063,Centrale,Tchaoudjo,VOGAN,Solaire,ZAGNABORI SOLAR,08/08/2025,2713.0,2051.3,4665,42.3,Non
REL-0065,Kara,Binah,Dapaong,Biomasse,ZAGNABORI SOLAR,2025-06-28,5945.1,2752.8,2106,66.5,Non
REL-0027,Kara,Bassar,Sokode,Eolienne,AGAHR,2025-04-08,5042.1,3067.5,1732,61.0,Non
REL-0122,plateaux,AMOU,Atakpame,Thermique,ZAGNABORI SOLAR,2024-12-15,4531.5,5136.6,2768,25.8,Oui
REL-0042,MARITIME,ZIO,Lome,HYDRAULIQUE,CEB,2024-10-05,4460.2,,1184,61.7,Non
REL-0053,Plateaux,Haho,Kpalime,HYDRAULIQUE,CEET,20-10-2025,3325.1,4197.5,1998,89.0,Non
REL-0162,Centrale,blitta,notse,HYDRAULIQUE,CEET,22-07-2025,4286.4,,473,74.0,Oui
REL-0193,CENTRALE,MO,NOTSE,Eolienne,ZAGNABORI SOLAR,13/10/2024,3530.1,1228.2,1671,90.0,Non
REL-0082,Savanes,cinkasse,Kara,Hydraulique,CEB,04-03-2025,5270.7,5564.1,361,61.6,Non
REL-0008,PLATEAUX,Danyi,NOTSE,Eolienne,CEET,05-02-2024,4971.4,2398.3,1460,82.3,Non
REL-0092,MARITIME,Golfe,Atakpame,HYDRAULIQUE,,15-05-2024,3522.6,4096.9,3623,96.2,Non
REL-0195,Savanes,Tone,mango,Eolienne,ZAGNABORI SOLAR,23/07/2025,4488.0,1502.5,4153,64.2,Non
REL-0148,Plateaux,wawa,Dapaong,HYDRAULIQUE,CEET,08/07/2025,3287.6,3392.3,2337,50.8,Oui
REL-0071,KARA,Binah,Mango,Biomasse,CEB,12-08-2024,2893.7,1667.3,2600,94.6,Non
REL-0185,Centrale,Tchaoudjo,BAFILO,Thermique,CEET,22/11/2024,5421.3,5479.3,1512,40.3,Non
REL-0154,Kara,Assoli,Kara,Eolienne,CEB,24-11-2024,7247.2,2305.2,3593,,Oui
REL-0009,Centrale,tchaoudjo,lome,Thermique,AGAHR,10/02/2025,4601.3,5776.7,1445,28.4,Non
REL-0116,plateaux,Haho,Dapaong,Thermique,AGAHR,26/02/2025,5444.4,7352.0,3729,83.9,Non
REL-0080,Centrale,Blitta,MANGO,Solaire,AGAHR,2024-07-09,5341.2,3096.5,1150,46.4,Non
REL-0139,Maritime,Yoto,ATAKPAME,BIOMASSE,CEB,16-11-2025,4984.1,2484.2,3236,67.6,Oui
REL-0142,Centrale,TCHAMBA,SOKODE,HYDRAULIQUE,AGAHR,04-03-2025,3898.2,3142.2,4957,95.8,Non
REL-0030,Plateaux,Kloto,Tsevie,Thermique,AGAHR,2025-11-28,4051.5,5852.5,2610,43.2,Non
REL-0004,Savanes,Oti,Bafilo,hydraulique,CEET,08/11/2024,5651.2,6873.1,803,40.5,Non
REL-0040,Kara,Doufelgou,Bafilo,Thermique,CEET,28/03/2025,5106.1,5709.5,1638,95.9,Oui
REL-0051,CENTRALE,mo,Kara,Thermique,CEB,02-01-2025,2906.5,3820.8,2543,53.2,Non
REL-0078,Maritime,Ave,Lome,THERMIQUE,AGAHR,2025-02-04,4730.6,4655.1,4553,,Non
REL-0196,Centrale,Mo,notse,solaire,,24/10/2025,6719.9,4659.7,4653,79.4,Non
REL-0112,MARITIME,Yoto,NOTSE,BIOMASSE,CEB,2024-05-14,3566.0,1918.3,3040,26.7,Non
REL-0151,Plateaux,AMOU,Notse,Eolienne,AGAHR,2024-10-04,5925.6,3400.7,4636,36.9,Non
REL-0055,Kara,Kozah,Bafilo,eolienne,AGAHR,10-04-2024,4841.2,2478.0,2466,42.7,Non
REL-0123,Plateaux,DANYI,Amlame,solaire,CEB,2024-04-26,4986.2,4364.5,2089,,Non
REL-0091,Maritime,ave,vogan,THERMIQUE,CEET,14/07/2024,4568.4,5593.4,2942,71.5,Non
REL-0181,Centrale,Tchamba,Mango,Biomasse,CEB,20-06-2025,4339.5,1226.0,1795,51.6,Non
REL-0044,Plateaux,Amou,Bafilo,HYDRAULIQUE,CEET,2025-11-20,4952.3,6402.5,4786,42.7,Oui
REL-0157,KARA,doufelgou,Amlame,thermique,CEB,04-02-2024,4328.2,4972.6,425,45.0,Non
REL-0049,Centrale,Tchaoudjo,Dapaong,Eolienne,AGAHR,18/12/2025,4649.5,2655.0,3032,26.2,Non
REL-0207,Plateaux,DANYI,Kpalime,Biomasse,CEET,12-08-2024,1995.9,1013.5,1895,38.7,Non
REL-0060,SAVANES,CINKASSE,Aneho,Thermique,AGAHR,04/06/2025,5019.7,5004.5,4365,90.6,Oui
REL-0054,Kara,Binah,Bafilo,Biomasse,CEET,2024-04-21,4016.9,1217.8,2317,73.2,Oui
REL-0021,savanes,OTI,Atakpame,SOLAIRE,CEET,2024-06-10,6046.5,4750.3,3739,30.4,Non
REL-0125,Centrale,Blitta,Aneho,Eolienne,AGAHR,21-09-2024,2991.0,1701.9,1640,79.9,Non
REL-0210,savanes,Cinkasse,dapaong,Solaire,CEB,14/10/2025,4572.1,2488.7,4625,67.4,Non
REL-0179,Kara,Bassar,atakpame,Solaire,AGAHR,2025-08-05,3021.4,1499.1,1519,28.0,Non
REL-0077,CENTRALE,Blitta,mango,HYDRAULIQUE,ZAGNABORI SOLAR,18/10/2024,3174.2,3515.5,1963,97.3,Oui
REL-0183,SAVANES,Cinkasse,Vogan,Eolienne,CEB,27-05-2025,3450.4,2240.8,716,92.2,Non
REL-0108,Plateaux,danyi,Kara,Thermique,ZAGNABORI SOLAR,04-09-2025,3599.7,5270.4,4376,67.0,Oui
REL-0174,Kara,Kozah,notse,Solaire,ZAGNABORI SOLAR,2024-12-24,4416.7,2854.5,4252,49.0,Oui
REL-0013,Maritime,Vo,Notse,HYDRAULIQUE,CEB,23-02-2024,5733.8,5480.7,632,63.0,Non
REL-0017,Maritime,Ave,Tsevie,THERMIQUE,ZAGNABORI SOLAR,10/08/2025,2282.2,3188.8,4702,51.0,Non
REL-0048,plateaux,Amou,Sokode,EOLIENNE,ZAGNABORI SOLAR,16-12-2024,,3334.7,4170,,Non
REL-0161,Plateaux,Wawa,Lome,Biomasse,ZAGNABORI SOLAR,2025-09-17,2898.6,1685.9,3331,,Non
REL-0120,SAVANES,Cinkasse,BAFILO,Hydraulique,ZAGNABORI SOLAR,2025-06-15,6148.2,5235.5,4851,90.9,Non
REL-0022,Maritime,YOTO,notse,Solaire,CEET,2024-05-04,5896.9,3415.7,4682,33.5,Non
REL-0147,MARITIME,Yoto,DAPAONG,Solaire,CEB,28-10-2024,7784.7,4193.5,3471,38.7,Non
REL-0180,Plateaux,WAWA,bafilo,Biomasse,CEB,05/02/2025,5256.1,1406.4,205,45.3,Non
REL-0131,Savanes,Tandjouare,Sokode,Hydraulique,AGAHR,2025-04-25,4867.4,4071.0,4231,85.0,Non
REL-0204,Kara,BASSAR,VOGAN,Hydraulique,AGAHR,03-05-2024,4424.6,5684.5,3102,88.2,Oui
REL-0074,Kara,assoli,Bafilo,Solaire,CEB,11-05-2024,4390.8,2402.7,3553,53.1,Non
REL-0031,Plateaux,est-mono,TSEVIE,Eolienne,CEB,2025-07-18,6716.8,2629.8,2639,30.6,Oui
REL-0175,Savanes,Tone,TSEVIE,SOLAIRE,CEET,2025-08-16,2543.3,1113.8,3064,34.4,Non
REL-0034,Kara,Bassar,atakpame,Thermique,CEET,06-04-2025,,7167.8,4393,64.4,Non
REL-0159,Centrale,Mo,MANGO,Biomasse,CEB,2025-05-09,4507.9,2288.2,4710,94.0,Non
REL-0190,Kara,dankpen,lome,Biomasse,CEB,14/10/2025,4966.9,1206.3,186,57.7,Non
REL-0156,Centrale,Tchamba,mango,Biomasse,ZAGNABORI SOLAR,08/04/2025,3796.2,1661.4,2985,52.8,Non
REL-0313,CENTRALE,Tchamba,Dapaong,Solaire,CEET,06/02/2024,5049.9,2479.2,3826,50.2,Non
REL-0124,Savanes,Kpendjal,BAFILO,Thermique,CEET,23-07-2025,4304.8,5506.3,4071,57.7,Non
REL-0311,CENTRALE,MO,Kara,EOLIENNE,CEB,2025-08-11,3922.4,2388.3,226,39.5,Non
REL-0101,CENTRALE,Blitta,Notse,Hydraulique,CEET,15/12/2024,5165.7,5357.3,4443,,Non
REL-0150,Plateaux,est-mono,atakpame,eolienne,CEB,20/12/2025,4725.6,2737.4,3556,64.1,Non
REL-0172,Plateaux,Amou,Aneho,Eolienne,AGAHR,2024-09-02,4611.1,2973.9,1881,94.3,Non
REL-0029,KARA,doufelgou,NOTSE,Thermique,ZAGNABORI SOLAR,02-05-2024,4630.6,5040.9,3722,62.1,Oui
REL-0203,Kara,Keran,Dapaong,Thermique,CEET,26/11/2024,4905.7,4744.9,283,54.0,Oui
REL-0062,Savanes,Kpendjal,vogan,Hydraulique,AGAHR,2024-09-14,3428.5,3683.4,1990,75.5,Oui
REL-0036,kara,Dankpen,Kara,Hydraulique,AGAHR,08/11/2025,,4846.3,3753,87.8,Oui
REL-0011,centrale,Sotouboua,Sokode,THERMIQUE,CEB,24/02/2024,3599.0,,716,57.1,Non
REL-0121,Maritime,GOLFE,VOGAN,Hydraulique,ZAGNABORI SOLAR,04/09/2025,6458.2,6200.0,2282,90.4,Non
REL-0072,Kara,Assoli,sokode,Eolienne,AGAHR,2025-12-10,5223.7,3478.7,3392,,Oui
REL-0199,Savanes,OTI,Notse,solaire,CEB,10/12/2025,2402.1,1083.1,4841,36.2,Oui
REL-0202,Maritime,Yoto,ANEHO,Solaire,CEET,2025-04-14,3204.0,1410.1,4202,63.3,Oui
REL-0094,CENTRALE,sotouboua,kpalime,Thermique,ZAGNABORI SOLAR,05/03/2025,4779.7,5560.6,4512,30.7,Non
REL-0160,kara,Assoli,dapaong,Eolienne,AGAHR,05/07/2025,4570.5,2924.5,3233,43.1,Non
REL-0119,Maritime,Golfe,MANGO,Eolienne,,05-01-2024,4173.5,2505.5,3739,80.1,Oui
REL-0145,Plateaux,OGOU,Atakpame,Thermique,ZAGNABORI SOLAR,24/03/2025,6676.7,7829.9,456,70.8,Oui
REL-0002,SAVANES,Cinkasse,Notse,Hydraulique,,19/08/2024,4292.6,3768.9,203,36.4,Non
REL-0205,Centrale,MO,Tsevie,THERMIQUE,CEET,2024-04-16,,3644.0,1237,73.8,Non
REL-0084,Maritime,Yoto,amlame,Biomasse,AGAHR,2025-11-01,6203.3,3449.1,4073,49.7,Non
REL-0310,Kara,Dankpen,Bafilo,HYDRAULIQUE,CEB,2025-11-27,6753.5,6741.9,409,70.4,Oui
REL-0088,Savanes,TONE,Notse,SOLAIRE,CEET,28-06-2025,2080.9,1688.3,3614,51.3,Oui
REL-0138,SAVANES,CINKASSE,Sokode,thermique,ZAGNABORI SOLAR,05/07/2025,2996.2,2797.8,1820,33.7,Non
REL-0005,Plateaux,Kloto,Dapaong,HYDRAULIQUE,AGAHR,2024-10-21,,3622.7,4525,63.3,Non
REL-0039,kara,Bassar,Kara,EOLIENNE,ZAGNABORI SOLAR,11-07-2024,4258.1,2161.0,3462,76.3,Non
REL-0194,Savanes,Kpendjal,Aneho,Solaire,CEB,27/06/2024,2877.7,2005.2,589,74.6,Oui
REL-0035,kara,KOZAH,Notse,biomasse,,27-10-2025,3446.9,1003.7,4285,56.2,Non
REL-0113,Centrale,Blitta,notse,Biomasse,CEET,02-08-2025,3616.0,894.1,3319,75.9,Oui
REL-0182,Kara,Doufelgou,Amlame,Hydraulique,AGAHR,27/05/2025,2947.1,3099.5,3140,75.4,Oui
REL-0184,PLATEAUX,Ogou,AMLAME,EOLIENNE,CEET,16-10-2025,4821.0,1564.1,3433,45.2,Non
REL-0153,centrale,BLITTA,Tsevie,Solaire,CEET,2024-10-03,2519.7,2182.9,3620,88.2,Oui
REL-0057,Centrale,Tchamba,Kpalime,Eolienne,AGAHR,17-05-2025,4889.8,2130.1,4195,50.5,Non
REL-0070,PLATEAUX,Danyi,ATAKPAME,Thermique,ZAGNABORI SOLAR,2024-08-19,6680.3,6794.8,2052,77.7,Non
REL-0192,SAVANES,Cinkasse,Dapaong,Solaire,ZAGNABORI SOLAR,23/11/2024,4805.2,1970.3,4984,48.5,Oui
REL-0045,Centrale,BLITTA,TSEVIE,EOLIENNE,CEET,21/06/2025,,,1403,78.2,Non
REL-0189,Maritime,Yoto,Amlame,Hydraulique,CEB,06/09/2024,,5664.4,4736,63.8,Non
REL-0020,CENTRALE,MO,Kara,EOLIENNE,CEB,2025-08-11,3922.4,2388.3,226,39.5,Non
REL-0007,Plateaux,WAWA,Tsevie,Eolienne,CEB,08-03-2025,2980.8,1242.6,4748,51.7,Non
REL-0056,Savanes,Kpendjal,tsevie,THERMIQUE,CEB,2024-05-27,6460.7,6175.5,734,90.5,Oui
REL-0076,Kara,KERAN,AMLAME,BIOMASSE,AGAHR,01/07/2024,5784.6,3323.0,4545,75.8,Oui
REL-0001,MARITIME,Golfe,Vogan,Solaire,CEB,2024-03-24,5245.1,4017.7,4617,68.7,Oui
REL-0173,Savanes,Tone,MANGO,THERMIQUE,CEB,07-01-2025,1944.9,2286.2,1331,96.5,Non
REL-0136,Kara,DOUFELGOU,Vogan,SOLAIRE,AGAHR,19/12/2025,4179.8,2558.5,4040,91.2,Oui
REL-0128,Savanes,oti,MANGO,Hydraulique,ZAGNABORI SOLAR,21-08-2024,3154.1,3219.6,2522,89.8,Oui
REL-0177,CENTRALE,Tchamba,Dapaong,Solaire,CEET,06/02/2024,5049.9,2479.2,3826,50.2,Non
REL-0069,Maritime,Lacs,ATAKPAME,SOLAIRE,CEET,2024-06-26,4519.5,3111.5,2553,61.0,Oui
REL-0168,maritime,Zio,MANGO,Thermique,CEET,27-03-2025,,6433.8,2045,26.1,Oui
REL-0137,maritime,Vo,aneho,Solaire,CEB,2024-10-16,4471.5,1814.0,4444,59.2,Non
REL-0043,CENTRALE,Mo,Bafilo,Biomasse,CEET,04-05-2024,4211.5,1086.4,360,60.7,Oui
REL-0111,Plateaux,Ogou,Kpalime,SOLAIRE,CEB,2025-02-02,4921.5,2143.8,3589,48.3,Non
REL-0090,Savanes,Tone,Mango,BIOMASSE,CEET,06/01/2025,,1295.1,2681,,Oui
REL-0073,SAVANES,Tandjouare,KARA,Hydraulique,AGAHR,07-11-2024,5209.9,6678.0,2203,,Non
REL-0024,kara,DOUFELGOU,Vogan,Eolienne,CEET,2024-02-23,5963.3,2530.8,4619,48.7,Oui
REL-0143,Maritime,Golfe,TSEVIE,Solaire,ZAGNABORI SOLAR,2024-11-25,4836.1,2112.9,192,65.4,Non
REL-0186,CENTRALE,TCHAMBA,Kpalime,Thermique,CEET,17-04-2025,5636.3,6325.5,4399,60.4,Non
REL-0093,Centrale,Tchamba,kpalime,solaire,ZAGNABORI SOLAR,08/01/2025,1462.3,1166.3,598,44.8,Oui
REL-0104,Centrale,Mo,Mango,Biomasse,CEET,2025-09-12,2628.3,1193.4,3120,,Oui
REL-0152,KARA,Assoli,Mango,Hydraulique,ZAGNABORI SOLAR,2024-09-15,3634.6,4563.2,3864,85.0,Non
REL-0054,Kara,Binah,Bafilo,Biomasse,CEET,2024-04-21,4016.9,1217.8,2317,73.2,Oui
REL-0068,savanes,Tandjouare,Dapaong,EOLIENNE,CEET,21-04-2024,3276.3,2151.9,2504,71.1,Non
REL-0026,Plateaux,est-mono,Atakpame,Hydraulique,ZAGNABORI SOLAR,24/03/2024,6534.4,,3522,,Non
REL-0197,Centrale,Tchaoudjo,Amlame,Thermique,ZAGNABORI SOLAR,04-07-2024,2944.1,3151.0,2177,51.5,Oui
REL-0176,maritime,Zio,Bafilo,Solaire,CEB,2024-02-09,5504.5,2554.2,3262,36.1,Non
