movie_id,movie_title,release_date,release_year,mcu_timeline_order,phase,phase_number,director,lead_actor,runtime_minutes,production_budget_millions,worldwide_box_office_millions,domestic_box_office_millions,profit_millions,roi_percentage,domestic_percentage,imdb_rating,rotten_tomatoes,metacritic_score,storyline
MCU_023,Black Widow,2021-07-09,2021,24,Phase 4,4,Cate Shortland,Scarlett Johansson,134,200,379,183,179,89.5,48.284960422163586,6.7,79,67,Natasha Romanoff confronts her past as a Russian spy.
MCU_024,Shang-Chi and the Legend of the Ten Rings,2021-09-03,2021,25,Phase 4,4,Destin Daniel Cretton,Simu Liu,132,200,432,224,232,115.99999999999999,51.85185185185185,7.4,91,71,Shang-Chi discovers the mystical Ten Rings organization.
MCU_025,Eternals,2021-11-05,2021,26,Phase 4,4,Chloé Zhao,Gemma Chan,156,236,402,164,166,70.33898305084746,40.79601990049751,6.3,47,52,Immortal beings must protect Earth from the Deviants.
MCU_026,Spider-Man: No Way Home,2021-12-17,2021,27,Phase 4,4,Jon Watts,Tom Holland,148,200,1902,804,1702,851.0,42.27129337539432,8.2,93,71,Peter Parker deals with the multiverse opening up.
MCU_027,Doctor Strange in the Multiverse of Madness,2022-05-06,2022,28,Phase 4,4,Sam Raimi,Benedict Cumberbatch,126,200,955,411,755,377.5,43.03664921465968,6.9,74,60,Stephen Strange explores the multiverse of madness.
MCU_028,Thor: Love and Thunder,2022-07-08,2022,29,Phase 4,4,Taika Waititi,Chris Hemsworth,119,250,760,343,510,204.0,45.131578947368425,6.2,63,57,Thor teams up with the Guardians of the Galaxy.
MCU_029,Black Panther: Wakanda Forever,2022-11-11,2022,30,Phase 4,4,Ryan Coogler,Letitia Wright,161,250,859,453,609,243.6,52.73573923166472,6.8,84,67,The people of Wakanda deal with the loss of their king.
MCU_030,Ant-Man and The Wasp: Quantumania,2023-02-17,2023,31,Phase 5,5,Peyton Reed,Paul Rudd,124,200,476,214,276,138.0,44.957983193277315,6.1,46,48,Scott Lang faces consequences from the Quantum Realm.
MCU_031,Guardians of the Galaxy Vol. 3,2023-05-05,2023,32,Phase 5,5,James Gunn,Chris Pratt,150,250,845,358,595,238.0,42.36686390532544,7.9,82,64,The Guardians go on a final adventure.
MCU_032,The Marvels,2023-11-10,2023,33,Phase 5,5,Nia DaCosta,Brie Larson,105,250,206,84,-44,-17.599999999999998,40.77669902912621,5.5,62,50,Carol Danvers teams up with Monica Rambeau and Kamala Khan.
MCU_033,Deadpool & Wolverine,2024-07-26,2024,34,Phase 5,5,Shawn Levy,Ryan Reynolds,128,300,1338,636,1038,346.0,47.53363228699551,7.7,78,56,Deadpool joins the MCU with Wolverine.
